addrCd,gungu,sido,resNm,rnum,csForCnt,csNatCnt
2714,동구,대구광역시,동화사,1,95,180121
2714,동구,대구광역시,파계사,2,16,110559
2714,동구,대구광역시,구암마을,3,0,0
2723,북구,대구광역시,대구사격장,4,33,3666
2729,달서구,대구광역시,우방타워랜드,5,2178,70430
2771,달성군,대구광역시,허브힐즈 (구 냉천자연랜드),6,1490,23340
2771,달성군,대구광역시,스파밸리,7,223,17432
2714,동구,대구광역시,동화사,1,185,224869
2714,동구,대구광역시,파계사,2,122,164407
2714,동구,대구광역시,구암마을,3,0,170
2723,북구,대구광역시,대구사격장,4,93,3596
2729,달서구,대구광역시,우방타워랜드,5,2985,96517
2771,달성군,대구광역시,허브힐즈 (구 냉천자연랜드),6,977,18564
2771,달성군,대구광역시,스파밸리,7,322,14546
2714,동구,대구광역시,동화사,1,364,254101
2714,동구,대구광역시,파계사,2,165,160232
2714,동구,대구광역시,구암마을,3,0,213
2723,북구,대구광역시,대구사격장,4,27,3245
2729,달서구,대구광역시,우방타워랜드,5,2605,84223
2771,달성군,대구광역시,허브힐즈 (구 냉천자연랜드),6,1500,16000
2771,달성군,대구광역시,스파밸리,7,741,9519
2714,동구,대구광역시,동화사,1,301,562803
2714,동구,대구광역시,파계사,2,192,335902
2714,동구,대구광역시,구암마을,3,159,551
2723,북구,대구광역시,대구사격장,4,109,3975
2729,달서구,대구광역시,우방타워랜드,5,5776,186756
2771,달성군,대구광역시,허브힐즈 (구 냉천자연랜드),6,4617,42502
2771,달성군,대구광역시,스파밸리,7,803,7787
2714,동구,대구광역시,동화사,1,382,576082
2714,동구,대구광역시,파계사,2,170,321773
2714,동구,대구광역시,구암마을,3,136,712
2723,북구,대구광역시,대구사격장,4,88,5530
2729,달서구,대구광역시,우방타워랜드,5,7471,241560
2771,달성군,대구광역시,허브힐즈 (구 냉천자연랜드),6,5222,49743
2771,달성군,대구광역시,스파밸리,7,656,18995
2714,동구,대구광역시,동화사,1,515,590901
2714,동구,대구광역시,파계사,2,291,356723
2714,동구,대구광역시,구암마을,3,83,845
2723,북구,대구광역시,대구사격장,4,25,4264
2729,달서구,대구광역시,우방타워랜드,5,3025,97800
2771,달성군,대구광역시,허브힐즈 (구 냉천자연랜드),6,2916,28445
2771,달성군,대구광역시,스파밸리,7,633,17662
2714,동구,대구광역시,동화사,1,452,638346
2714,동구,대구광역시,파계사,2,208,349576
2714,동구,대구광역시,구암마을,3,233,472
2723,북구,대구광역시,대구사격장,4,25,4472
2729,달서구,대구광역시,우방타워랜드,5,3230,104422
2771,달성군,대구광역시,허브힐즈 (구 냉천자연랜드),6,1974,18166
2771,달성군,대구광역시,스파밸리,7,648,28741
2714,동구,대구광역시,동화사,1,595,710600
2714,동구,대구광역시,파계사,2,233,461000
2714,동구,대구광역시,구암마을,3,253,142
2723,북구,대구광역시,대구사격장,4,41,6075
2729,달서구,대구광역시,우방타워랜드,5,4252,137492
2771,달성군,대구광역시,허브힐즈 (구 냉천자연랜드),6,2983,25971
