addrCd,gungu,sido,resNm,rnum,csForCnt,csNatCnt
1111,종로구,서울특별시,창덕궁,1,23453,49390
1111,종로구,서울특별시,경복궁,2,108087,196594
1111,종로구,서울특별시,창경궁,3,1326,24256
1111,종로구,서울특별시,종묘,4,3112,9854
1117,용산구,서울특별시,국립중앙박물관,5,6513,339073
1114,중구,서울특별시,덕수궁,6,8989,54159
1135,노원구,서울특별시,태릉 ·  강릉 · 조선왕릉전시관,7,11,1754
1141,서대문구,서울특별시,서대문형무소역사관,8,5355,23464
1141,서대문구,서울특별시,서대문자연사박물관,9,0,44478
1144,마포구,서울특별시,트릭아이미술관,10,30234,10756
1165,서초구,서울특별시,헌릉ㆍ인릉,11,2,1362
1168,강남구,서울특별시,선릉·정릉,12,569,12155
1111,종로구,서울특별시,창덕궁,1,26439,58745
1111,종로구,서울특별시,경복궁,2,154280,264154
1111,종로구,서울특별시,창경궁,3,1487,51984
1111,종로구,서울특별시,종묘,4,4171,15102
1117,용산구,서울특별시,국립중앙박물관,5,6783,214923
1114,중구,서울특별시,덕수궁,6,11984,62541
1135,노원구,서울특별시,태릉 ·  강릉 · 조선왕릉전시관,7,13,2821
1141,서대문구,서울특별시,서대문형무소역사관,8,3702,12093
1141,서대문구,서울특별시,서대문자연사박물관,9,0,24157
1144,마포구,서울특별시,트릭아이미술관,10,34684,8984
1165,서초구,서울특별시,헌릉ㆍ인릉,11,4,1706
1168,강남구,서울특별시,선릉·정릉,12,579,13497
1111,종로구,서울특별시,창덕궁,1,34770,63273
1111,종로구,서울특별시,경복궁,2,114092,272022
1111,종로구,서울특별시,창경궁,3,5526,111070
1111,종로구,서울특별시,종묘,4,5525,10717
1117,용산구,서울특별시,국립중앙박물관,5,9463,165430
1114,중구,서울특별시,덕수궁,6,15227,55316
1135,노원구,서울특별시,태릉 ·  강릉 · 조선왕릉전시관,7,23,5274
1141,서대문구,서울특별시,서대문형무소역사관,8,3850,34754
1141,서대문구,서울특별시,서대문자연사박물관,9,0,22159
1144,마포구,서울특별시,트릭아이미술관,10,32313,4434
1165,서초구,서울특별시,헌릉ㆍ인릉,11,15,3014
1168,강남구,서울특별시,선릉·정릉,12,794,24718
1111,종로구,서울특별시,창덕궁,1,45325,140398
1111,종로구,서울특별시,경복궁,2,209980,406906
1111,종로구,서울특별시,창경궁,3,5862,82310
1111,종로구,서울특별시,종묘,4,5290,16470
1117,용산구,서울특별시,국립중앙박물관,5,11073,205569
1114,중구,서울특별시,덕수궁,6,19304,100979
1135,노원구,서울특별시,태릉 ·  강릉 · 조선왕릉전시관,7,20,10420
1141,서대문구,서울특별시,서대문형무소역사관,8,4114,57735
1141,서대문구,서울특별시,서대문자연사박물관,9,0,24094
1144,마포구,서울특별시,트릭아이미술관,10,32168,3718
1165,서초구,서울특별시,헌릉ㆍ인릉,11,7,4782
1168,강남구,서울특별시,선릉·정릉,12,900,41824
1111,종로구,서울특별시,창덕궁,1,41644,187128
1111,종로구,서울특별시,경복궁,2,185212,485936
1111,종로구,서울특별시,창경궁,3,5453,107728
1111,종로구,서울특별시,종묘,4,8860,52123
1117,용산구,서울특별시,국립중앙박물관,5,10250,260240
1114,중구,서울특별시,덕수궁,6,20133,130874
1135,노원구,서울특별시,태릉 ·  강릉 · 조선왕릉전시관,7,73,23038
1141,서대문구,서울특별시,서대문형무소역사관,8,4392,75348
1141,서대문구,서울특별시,서대문자연사박물관,9,0,29008
1144,마포구,서울특별시,트릭아이미술관,10,26983,8071
1165,서초구,서울특별시,헌릉ㆍ인릉,11,28,7557
1168,강남구,서울특별시,선릉·정릉,12,1073,43557
1111,종로구,서울특별시,창덕궁,1,20021,39425
1111,종로구,서울특별시,경복궁,2,31822,155024
1111,종로구,서울특별시,창경궁,3,1890,19369
1111,종로구,서울특별시,종묘,4,2832,6964
1117,용산구,서울특별시,국립중앙박물관,5,6992,86464
1114,중구,서울특별시,덕수궁,6,7547,55601
1135,노원구,서울특별시,태릉 ·  강릉 · 조선왕릉전시관,7,16,6645
1141,서대문구,서울특별시,서대문형무소역사관,8,689,20393
1141,서대문구,서울특별시,서대문자연사박물관,9,0,6857
1144,마포구,서울특별시,트릭아이미술관,10,9009,3603
1165,서초구,서울특별시,헌릉ㆍ인릉,11,15,3344
1168,강남구,서울특별시,선릉·정릉,12,559,25700
1111,종로구,서울특별시,창덕궁,1,24274,109725
1111,종로구,서울특별시,경복궁,2,78117,140930
1111,종로구,서울특별시,창경궁,3,4676,64166
1111,종로구,서울특별시,종묘,4,2927,15124
1117,용산구,서울특별시,국립중앙박물관,5,9652,261826
1114,중구,서울특별시,덕수궁,6,8478,94828
1135,노원구,서울특별시,태릉 ·  강릉 · 조선왕릉전시관,7,0,5871
1141,서대문구,서울특별시,서대문형무소역사관,8,4500,17171
1141,서대문구,서울특별시,서대문자연사박물관,9,0,28674
1144,마포구,서울특별시,트릭아이미술관,10,4522,9384
1165,서초구,서울특별시,헌릉ㆍ인릉,11,43,2991
1168,강남구,서울특별시,선릉·정릉,12,864,37864
1111,종로구,서울특별시,창덕궁,1,25283,102114
1111,종로구,서울특별시,경복궁,2,126031,265302
1111,종로구,서울특별시,창경궁,3,3054,90527
1111,종로구,서울특별시,종묘,4,3594,17971
1117,용산구,서울특별시,국립중앙박물관,5,10560,449973
1114,중구,서울특별시,덕수궁,6,12221,112969
1135,노원구,서울특별시,태릉 ·  강릉 · 조선왕릉전시관,7,20,6180
1141,서대문구,서울특별시,서대문형무소역사관,8,8160,119769
1141,서대문구,서울특별시,서대문자연사박물관,9,0,48488
1144,마포구,서울특별시,트릭아이미술관,10,12957,19516
1165,서초구,서울특별시,헌릉ㆍ인릉,11,5,3439
1168,강남구,서울특별시,선릉·정릉,12,754,24135
1111,종로구,서울특별시,창덕궁,1,36438,100310
1111,종로구,서울특별시,경복궁,2,145280,387816
1111,종로구,서울특별시,창경궁,3,3503,54612
1111,종로구,서울특별시,종묘,4,4506,16808
1117,용산구,서울특별시,국립중앙박물관,5,13169,221311
1114,중구,서울특별시,덕수궁,6,18105,109837
1135,노원구,서울특별시,태릉 ·  강릉 · 조선왕릉전시관,7,15,11899
1141,서대문구,서울특별시,서대문형무소역사관,8,6249,34080
1141,서대문구,서울특별시,서대문자연사박물관,9,0,21641
1144,마포구,서울특별시,트릭아이미술관,10,16712,4346
1165,서초구,서울특별시,헌릉ㆍ인릉,11,22,4606
1168,강남구,서울특별시,선릉·정릉,12,853,35500
1111,종로구,서울특별시,창덕궁,1,49946,189933
1111,종로구,서울특별시,경복궁,2,203207,403641
1111,종로구,서울특별시,창경궁,3,3936,113075
1111,종로구,서울특별시,종묘,4,5519,21238
1117,용산구,서울특별시,국립중앙박물관,5,17862,242371
1114,중구,서울특별시,덕수궁,6,21610,144902
